source_node,destination_node,class
90,1562,0
833,1858,0
603,1364,1
697,1025,0
1525,1735,1
511,2253,0
1666,2784,0
710,2528,1
180,1159,0
686,1647,0
1681,2499,0
2274,2689,0
1070,2633,0
856,1998,0
2011,2487,0
541,1481,0
1665,2718,0
288,747,1
649,2164,0
1525,1723,1
1525,1984,1
81,963,0
174,648,0
401,2363,0
1525,1624,1
1525,2195,1
1525,1609,1
278,2629,0
2080,2392,0
1525,1962,1
2232,2302,1
1958,2568,0
220,1679,0
2232,2322,1
603,1313,1
278,2632,0
1525,1935,1
1525,1708,1
2232,2305,1
1122,2639,0
288,608,1
1335,1615,0
2687,2817,1
876,2257,0
603,905,1
603,1187,1
21,450,0
288,295,1
684,1693,0
2040,2791,0
603,861,1
786,2384,0
603,1213,1
2119,2879,0
1516,2493,0
714,2647,1
1120,2783,0
1525,1968,1
714,2461,1
2232,2240,1
288,515,1
714,2602,1
1486,2329,0
866,2223,0
288,521,1
603,1369,1
1557,2500,0
603,1512,1
603,949,1
535,1572,0
924,1703,0
229,1423,0
408,2677,0
288,511,1
603,798,1
1525,2182,1
660,1939,0
248,1717,0
1525,2017,1
1525,2106,1
362,2755,0
2699,2886,1
1991,2613,0
714,2603,1
66,2888,0
2447,2633,0
965,1643,0
1525,2049,1
240,1737,0
62,1244,0
603,1054,1
981,2105,0
288,593,1
288,750,1
288,605,1
288,509,1
585,975,0
2,1131,0
1869,2883,0
2687,2818,1
1525,1872,1
189,1349,0
603,1130,1
1461,2461,0
769,2216,0
1525,1709,1
251,1489,0
603,1079,1
274,624,0
1347,1725,0
1,132,1
154,2598,0
1497,2361,0
603,1012,1
603,1045,1
2232,2274,1
288,453,1
419,1478,0
531,887,0
603,1210,1
1143,2771,0
714,2409,1
965,2000,0
603,1403,1
288,471,1
479,1238,0
2536,2589,1
448,2347,0
710,2511,1
288,523,1
482,2570,0
1525,1877,1
603,1437,1
783,2505,0
1405,2650,0
288,702,1
1075,1750,0
1525,1903,1
863,2317,0
603,971,1
288,336,1
1413,2667,0
1001,1871,0
288,722,1
2687,2748,1
448,2720,0
1055,2263,0
2321,2383,0
532,1219,0
288,427,1
714,2469,1
436,1174,0
1525,2053,1
288,308,1
629,771,0
183,1565,0
1533,2588,0
1,101,1
1980,2597,0
1525,2163,1
628,1636,0
543,2030,0
135,2394,0
1270,1686,0
1244,2483,0
816,2296,0
1525,2216,1
2299,2685,0
603,1236,1
1525,1779,1
2699,2773,1
360,1557,0
710,2394,1
1525,1584,1
690,1278,0
603,872,1
2536,2537,1
1,245,1
69,767,0
1002,1832,0
551,2777,0
1479,2435,0
1447,1757,0
1,274,1
2687,2830,1
1525,1633,1
603,834,1
272,1003,0
1,106,1
498,890,0
1525,2184,1
1213,2775,0
635,2165,0
1,143,1
197,446,0
2687,2803,1
2687,2853,1
603,1465,1
288,398,1
2125,2766,0
2447,2877,0
603,936,1
603,1166,1
292,1860,0
2687,2701,1
603,1191,1
29,680,0
288,439,1
2232,2301,1
1525,2077,1
637,1330,0
288,757,1
288,597,1
603,992,1
262,1104,0
184,2734,0
288,645,1
1239,2027,0
2699,2806,1
1,263,1
311,784,0
288,433,1
27,290,0
1,265,1
603,1256,1
288,699,1
528,1102,0
2687,2839,1
603,1523,1
288,474,1
96,1427,0
1646,2595,0
1369,1948,0
1525,2168,1
7,610,0
598,1342,0
1451,2684,0
603,827,1
288,604,1
1,181,1
1957,2306,0
603,1233,1
603,803,1
1525,1655,1
2687,2832,1
288,744,1
1525,1982,1
2084,2649,0
7,1398,0
579,2197,0
226,1804,0
1,243,1
796,1646,0
2687,2806,1
714,2612,1
1,19,1
603,1029,1
2699,2858,1
511,2733,0
205,2470,0
1347,1632,0
1,56,1
2065,2394,0
714,2356,1
1826,2875,0
603,940,1
603,1332,1
1688,2257,0
852,2479,0
1525,2071,1
603,1141,1
469,2399,0
1525,1547,1
168,961,0
1133,2391,0
922,2376,0
1525,2113,1
288,423,1
2687,2727,1
1873,2402,0
1418,2254,0
776,2780,0
1208,1986,0
2687,2690,1
1793,2319,0
2232,2296,1
603,1025,1
333,989,0
710,2422,1
603,1446,1
710,2409,1
416,2060,0
2687,2764,1
615,1110,0
908,2269,0
332,917,0
741,1226,0
2699,2884,1
710,2397,1
2687,2744,1
299,946,0
1094,2644,0
335,2232,1
603,851,1
603,1393,1
603,1510,1
1525,2036,1
710,2505,1
288,652,1
288,438,1
138,2083,0
603,869,1
1525,1625,1
1456,2479,0
714,2475,1
2291,2561,0
603,1370,1
1525,1759,1
1,69,1
2443,2733,0
422,1766,0
1525,1815,1
28,1355,0
581,1482,0
1525,1639,1
1456,1658,0
603,862,1
288,651,1
288,753,1
603,1038,1
151,339,0
1460,2108,0
196,1678,0
756,1367,0
288,451,1
1,129,1
288,455,1
1525,1707,1
1525,1790,1
1525,1788,1
1227,2366,0
603,1319,1
2355,2720,0
457,2089,0
391,2629,0
1525,1806,1
509,2409,0
202,1280,0
489,1782,0
1281,1703,0
1525,1822,1
532,2627,0
1523,2700,0
119,1139,0
714,2622,1
603,1283,1
603,1082,1
821,2483,0
1525,2005,1
1525,1544,1
728,1877,0
603,1367,1
710,2352,1
2536,2576,1
1525,2008,1
2687,2788,1
1,203,1
133,2319,0
2687,2802,1
676,2011,0
99,841,0
708,1361,0
1499,2513,0
708,2687,0
997,2546,0
932,1805,0
407,1749,0
1658,2263,0
846,2625,0
1525,1938,1
372,1308,0
2687,2805,1
1155,2589,0
391,2788,0
534,1961,0
1525,1574,1
603,1458,1
1,176,1
1525,2028,1
1,87,1
1635,2417,0
1525,1918,1
603,1028,1
277,1246,0
1468,2400,0
2232,2292,1
62,2230,0
2699,2841,1
133,2247,0
1,147,1
130,598,0
714,721,1
710,2332,1
603,1118,1
2253,2562,0
288,311,1
812,1775,0
34,963,0
288,555,1
1443,2046,0
1525,1781,1
288,307,1
77,2155,0
288,391,1
710,2488,1
43,2099,0
1302,2285,0
2687,2712,1
1525,1697,1
453,959,0
435,2071,0
771,2127,0
553,1699,0
603,1271,1
1200,2253,0
1525,1687,1
2687,2780,1
