source_node,destination_node,jaccard_coef,adamic_adar,preferential_attachment,clustering_coef,class
90,1562,0.0,0.0,2,0.0,0
833,1858,0.0,0.0,1,0.0,0
603,1364,0.0,0.0,769,0.0,1
697,1025,0.0,0.0,1,0.0,0
1525,1735,0.0,0.0,710,0.0,1
511,2253,0.0,0.0,1,0.0,0
1666,2784,0.0,0.0,1,0.0,0
710,2528,0.0,0.0,221,0.0,1
180,1159,0.0,0.0,1,0.0,0
686,1647,0.0,0.0,1,0.0,0
1681,2499,0.0,0.0,1,0.0,0
2274,2689,0.0,0.0,1,0.0,0
1070,2633,0.0,0.0,1,0.0,0
856,1998,0.0,0.0,1,0.0,0
2011,2487,0.0,0.0,1,0.0,0
541,1481,0.0,0.0,1,0.0,0
1665,2718,0.0,0.0,1,0.0,0
288,747,0.0,0.0,481,0.0,1
649,2164,0.0,0.0,1,0.0,0
1525,1723,0.0,0.0,710,0.0,1
1525,1984,0.0,0.0,710,0.0,1
81,963,0.0,0.0,1,0.0,0
174,648,0.0,0.0,1,0.0,0
401,2363,0.0,0.0,1,0.0,0
1525,1624,0.0,0.0,710,0.0,1
1525,2195,0.0,0.0,710,0.0,1
1525,1609,0.0,0.0,710,0.0,1
278,2629,0.0,0.0,1,0.0,0
2080,2392,0.0,0.0,1,0.0,0
1525,1962,0.0,0.0,710,0.0,1
2232,2302,0.0,0.0,97,0.0,1
1958,2568,0.0,0.0,1,0.0,0
220,1679,0.0,0.0,1,0.0,0
2232,2322,0.0,0.0,97,0.0,1
603,1313,0.0,0.0,769,0.0,1
278,2632,0.0,0.0,1,0.0,0
1525,1935,0.0,0.0,710,0.0,1
1525,1708,0.0,0.0,710,0.0,1
2232,2305,0.0,0.0,97,0.0,1
1122,2639,0.0,0.0,1,0.0,0
288,608,0.0,0.0,481,0.0,1
1335,1615,0.0,0.0,1,0.0,0
2687,2817,0.0,0.0,170,0.0,1
876,2257,0.0,0.0,1,0.0,0
603,905,0.0,0.0,769,0.0,1
603,1187,0.0,0.0,769,0.0,1
21,450,0.0,0.0,1,0.0,0
288,295,0.0,0.0,481,0.0,1
684,1693,0.0,0.0,1,0.0,0
2040,2791,0.0,0.0,1,0.0,0
603,861,0.0,0.0,769,0.0,1
786,2384,0.0,0.0,1,0.0,0
603,1213,0.0,0.0,769,0.0,1
2119,2879,0.0,0.0,1,0.0,0
1516,2493,0.0,0.0,1,0.0,0
714,2647,0.0,0.0,139,0.0,1
1120,2783,0.0,0.0,1,0.0,0
1525,1968,0.0,0.0,710,0.0,1
714,2461,0.007142857142857143,0.18524821412271236,278,0.005108956313210301,1
2232,2240,0.0,0.0,97,0.0,1
288,515,0.0,0.0,481,0.0,1
714,2602,0.0,0.0,139,0.0,1
1486,2329,0.0,0.0,1,0.0,0
866,2223,0.0,0.0,1,0.0,0
288,521,0.0,0.0,481,0.0,1
603,1369,0.0,0.0,769,0.0,1
1557,2500,0.0,0.0,1,0.0,0
603,1512,0.0,0.0,769,0.0,1
603,949,0.0,0.0,769,0.0,1
535,1572,0.0,0.0,1,0.0,0
924,1703,0.0,0.0,1,0.0,0
229,1423,0.0,0.0,1,0.0,0
408,2677,0.0,0.0,1,0.0,0
288,511,0.0,0.0,481,0.0,1
603,798,0.0,0.0,769,0.0,1
1525,2182,0.0,0.0,710,0.0,1
660,1939,0.0,0.0,1,0.0,0
248,1717,0.0,0.0,1,0.0,0
1525,2017,0.0,0.0,710,0.0,1
1525,2106,0.0,0.0,710,0.0,1
