source_node,destination_node,jaccard_coef,adamic_adar,preferential_attachment,clustering_coef,class
4772,7916,0.0,0.0,25,0.0,0
5405,7988,0.0,0.0,90,0.0,1
5274,6761,0.0,0.0,35,0.0,0
1030,4183,0.0,0.0,32,0.0,1
7017,8553,0.0,0.0,48,0.0,0
1152,8229,0.0,0.0,35,0.0,0
8278,9375,0.0,0.0,28,0.0,1
4876,9325,0.0,0.0,80,0.0,1
7320,9463,0.0,0.0,30,0.0,0
2767,3776,0.0,0.0,20,0.0,1
2805,4721,0.0,0.0,36,0.0,1
2558,8737,0.0,0.0,88,0.0,1
2635,8778,0.0,0.0,24,0.0,0
8167,9519,0.0,0.0,15,0.0,0
6076,8641,0.0,0.0,60,0.0,1
531,6820,0.0,0.0,30,0.0,0
6577,9035,0.0,0.0,50,0.0,0
2705,6825,0.0,0.0,56,0.0,1
975,8098,0.0,0.0,56,0.0,0
4983,7904,0.0,0.0,40,0.0,0
1478,8280,0.0,0.0,16,0.0,1
1514,3249,0.0,0.0,16,0.0,0
2567,9754,0.0,0.0,42,0.0,0
689,8018,0.0,0.0,45,0.0,1
3808,4653,0.0,0.0,6,0.0,0
2819,9319,0.0,0.0,12,0.0,0
3674,5556,0.0,0.0,8,0.0,0
4892,7406,0.0,0.0,30,0.0,1
1147,6364,0.0,0.0,36,0.0,0
6644,8237,0.0,0.0,32,0.0,1
3786,6796,0.0,0.0,66,0.0,0
6851,9310,0.0,0.0,30,0.0,0
1652,9946,0.0,0.0,66,0.0,1
4160,9713,0.0,0.0,32,0.0,1
3316,4258,0.0,0.0,30,0.0,0
5264,6832,0.0,0.0,24,0.0,0
4502,5688,0.0,0.0,32,0.0,1
3904,9701,0.0,0.0,30,0.0,1
1762,8054,0.0,0.0,40,0.0,0
1257,5142,0.0,0.0,30,0.0,1
7073,7726,0.0,0.0,99,0.0,0
6292,8166,0.0,0.0,28,0.0,1
2123,8654,0.0,0.0,108,0.0,1
3650,7959,0.0,0.0,30,0.0,0
5309,6618,0.0,0.0,66,0.0,1
2775,7660,0.0,0.0,54,0.0,0
4692,8896,0.0,0.0,32,0.0,0
3277,3791,0.0,0.0,70,0.0,1
612,1197,0.0,0.0,64,0.0,1
4140,5927,0.0,0.0,20,0.0,0
5639,5941,0.0,0.0,96,0.0,0
5882,7287,0.0,0.0,28,0.0,0
1915,4544,0.0,0.0,72,0.0,1
2387,6541,0.0,0.0,18,0.0,0
4062,4559,0.0,0.0,54,0.0,1
5101,7547,0.0,0.0,42,0.0,0
1490,8964,0.0,0.0,20,0.0,1
1010,4149,0.0,0.0,40,0.0,1
3276,7495,0.0,0.0,35,0.0,0
816,6107,0.0,0.0,54,0.0,1
54,4176,0.0,0.0,63,0.0,0
4978,9569,0.0,0.0,20,0.0,0
4280,9715,0.0,0.0,35,0.0,1
3316,3686,0.0,0.0,24,0.0,1
1227,6722,0.0,0.0,60,0.0,0
1942,3897,0.0,0.0,15,0.0,0
1645,7335,0.0,0.0,16,0.0,0
2413,3709,0.0,0.0,16,0.0,0
2096,6656,0.0,0.0,40,0.0,1
933,2091,0.0,0.0,64,0.0,1
4673,9556,0.0,0.0,110,0.0,1
5413,8300,0.0,0.0,39,0.0,0
2605,8815,0.0,0.0,30,0.0,0
8249,9888,0.0,0.0,35,0.0,1
786,8227,0.0,0.0,50,0.0,1
2887,8572,0.0,0.0,32,0.0,1
8965,9733,0.0,0.0,54,0.0,0
2530,6675,0.0,0.0,63,0.0,0
9321,9333,0.0,0.0,32,0.0,1
1508,8431,0.0,0.0,50,0.0,1
3869,8583,0.0,0.0,42,0.0,1
528,8517,0.0,0.0,77,0.0,1
8073,9005,0.0,0.0,25,0.0,0
7781,7933,0.0,0.0,60,0.0,0
453,3961,0.0,0.0,5,0.0,0
5496,9316,0.0,0.0,64,0.0,1
9258,9479,0.0,0.0,42,0.0,0
3637,3906,0.0,0.0,36,0.0,1
1021,6236,0.0,0.0,54,0.0,1
7318,8089,0.0,0.0,63,0.0,1
3577,4120,0.0,0.0,24,0.0,1
467,2753,0.0,0.0,24,0.0,0
8384,9815,0.0,0.0,72,0.0,1
1824,2419,0.0,0.0,28,0.0,1
6203,7065,0.0,0.0,14,0.0,1
1187,6493,0.0,0.0,36,0.0,0
1164,9774,0.0,0.0,20,0.0,0
5328,8864,0.0,0.0,20,0.0,1
583,9588,0.0,0.0,77,0.0,1
372,7344,0.0,0.0,42,0.0,0
5328,8466,0.0,0.0,50,0.0,1
4794,5826,0.0,0.0,48,0.0,1
8331,9052,0.0,0.0,35,0.0,1
3206,4253,0.0,0.0,63,0.0,0
6429,7740,0.0,0.0,84,0.0,1
3378,7558,0.0,0.0,20,0.0,1
4089,8694,0.0,0.0,12,0.0,0
336,6083,0.0,0.0,143,0.0,1
6643,8745,0.0,0.0,28,0.0,1
3013,6876,0.0,0.0,110,0.0,1
4505,4537,0.0,0.0,64,0.0,1
4170,7286,0.0,0.0,45,0.0,1
3939,8091,0.0,0.0,64,0.0,0
7963,9191,0.0,0.0,54,0.0,1
258,9438,0.0,0.0,70,0.0,0
2115,4786,0.0,0.0,56,0.0,0
5196,7487,0.0,0.0,18,0.0,0
1087,7748,0.0,0.0,35,0.0,0
5019,6295,0.0,0.0,27,0.0,1
670,7755,0.0,0.0,30,0.0,0
4851,7823,0.0,0.0,48,0.0,0
4045,8564,0.0,0.0,44,0.0,0
755,1580,0.0,0.0,72,0.0,1
5297,9167,0.0,0.0,30,0.0,1
8091,8439,0.0,0.0,72,0.0,1
5625,8078,0.0,0.0,27,0.0,0
5568,5664,0.0,0.0,6,0.0,0
3277,4237,0.0,0.0,90,0.0,0
8679,9696,0.0,0.0,50,0.0,1
1537,8147,0.0,0.0,40,0.0,0
3439,9607,0.0,0.0,90,0.0,1
2236,3447,0.0,0.0,96,0.0,1
37,7904,0.0,0.0,56,0.0,1
970,6136,0.0,0.0,55,0.0,1
6905,7203,0.0,0.0,20,0.0,0
1765,1831,0.0,0.0,45,0.0,0
3554,8020,0.0,0.0,72,0.0,0
6923,9872,0.0,0.0,55,0.0,1
2272,6489,0.0,0.0,104,0.0,1
4599,8940,0.0,0.0,36,0.0,1
2568,9741,0.0,0.0,63,0.0,1
2451,9063,0.0,0.0,42,0.0,1
1534,6879,0.0,0.0,28,0.0,1
3618,7635,0.0,0.0,42,0.0,0
4843,8030,0.0,0.0,30,0.0,1
1092,4601,0.0,0.0,50,0.0,0
2293,8891,0.0,0.0,48,0.0,0
2324,7273,0.0,0.0,48,0.0,1
