source_node,destination_node,jaccard_coef,adamic_adar,preferential_attachment,clustering_coef,class
1503,2423,0.0,0.0,2,0.0,0
452,396,0.6,4.240309208982507,256,0.595,1
98,2357,0.0,0.0,138,0.15458937198067632,0
1280,2202,0.0,0.0,6,0.0,0
1146,912,0.21052631578947367,2.2724280899606826,408,0.08874844703721708,1
484,1504,0.0,0.0,490,0.07435669920141968,0
1976,696,0.4375,4.384622814922675,465,0.6559139784946236,1
637,185,0.6521739130434783,4.801460259175384,352,0.5627705627705628,1
2054,471,0.1111111111111111,1.6977894824326425,104,0.16615384615384615,1
942,552,0.09278350515463918,2.4470110328987906,2233,0.02944553501981555,1
87,64,0.06818181818181818,3.3667564304910584,8787,0.008742936843804668,1
349,71,0.13253012048192772,2.822439142991588,1368,0.09203531705079693,1
118,111,0.08441558441558442,3.728625094305116,6790,0.013209874566889358,1
368,363,0.034482758620689655,0.2790553132756236,209,0.05422647527910685,1
845,828,0.17391304347826086,2.6584368034889234,585,0.04615384615384615,1
462,457,0.3684210526315789,2.2665979746932217,169,0.33136094674556216,1
560,44,0.03867403314917127,1.7434883923222184,2595,0.01918460622587521,1
497,349,0.1440677966101695,3.8310456843116776,4484,0.07313174813128671,1
846,249,0.14285714285714285,1.097347406791671,135,0.029100529100529102,1
2159,1567,0.5714285714285714,2.270466553858725,30,0.8,1
1074,1015,0.3877551020408163,4.994752329943291,1075,0.2053156146179402,1
253,2229,0.0,0.0,108,0.16142557651991615,0
1930,1320,0.8,4.228895736773568,323,0.8538011695906432,1
210,27,0.5294117647058824,8.56601064048373,1400,0.18156138645934564,1
1247,2091,0.0,0.0,13,0.0,0
157,2,0.13533834586466165,4.254084640769424,5670,0.047187460061856194,1
1646,1380,0.6,1.8033688011112041,16,1.0,1
721,700,0.6585365853658537,7.900415344136637,1131,0.5452291205467249,1
628,1026,0.0,0.0,56,0.39285714285714285,0
150,140,0.045454545454545456,1.2244109165206882,1891,0.020071684587813624,1
1355,2002,0.0,0.0,10,0.6,0
920,764,0.1111111111111111,1.2710185681883481,216,0.15844721727074668,1
554,2422,0.0,0.0,46,0.0,0
706,702,0.5384615384615384,2.882322347608615,96,0.6515151515151515,1
509,160,0.05102040816326531,1.1810578820609883,2412,0.06096142663306842,1
681,1450,0.0,0.0,469,0.25314983523938744,0
1017,889,0.023809523809523808,0.318928988903801,450,0.0869281045751634,1
844,11,0.08108108108108109,0.778718667889025,399,0.04901141743247006,1
249,2002,0.0,0.0,30,0.20952380952380953,0
1548,70,0.020833333333333332,0.17826990428196407,360,0.05993589743589744,1
1806,1976,0.0,0.0,60,1.0,0
1526,2319,0.0,0.0,5,0.0,0
521,111,0.030612244897959183,0.6796542474703542,2170,0.030690798993744293,1
573,1313,0.0,0.0,558,0.07106613254620844,0
655,237,0.06115107913669065,5.160194706506037,6006,0.03813669990140578,1
108,2359,0.0,0.0,32,0.0,0
535,1865,0.0,0.0,324,0.19373219373219372,0
692,538,0.26865671641791045,4.609371576745592,1750,0.21848327902589607,1
495,238,0.1377952755905512,8.109275283899024,14718,0.03013425793694852,1
141,1814,0.0,0.0,85,0.09411764705882353,0
400,1722,0.0,0.0,36,0.33986928104575165,0
210,96,0.14285714285714285,3.3856809564376382,1904,0.07663828383758146,1
5,795,0.0,0.0,592,0.17342342342342343,0
1529,1824,0.0,0.0,3,0.0,0
1015,247,0.08450704225352113,1.3905601600942354,1462,0.1171140760744044,1
1822,2392,0.0,0.0,17,0.0,0
1058,552,0.0375,1.014321158597119,462,0.04347231715652769,1
1266,1254,0.24324324324324326,3.054344259633979,520,0.1651821862348178,1
1139,1759,0.0,0.0,34,0.3235294117647059,0
2083,2081,0.3333333333333333,1.4426950408889634,4,1.0,1
1770,1658,0.0,0.0,4,0.0,1
928,2383,0.0,0.0,16,0.0,0
1445,1529,0.0,0.0,5,0.0,0
1383,644,0.06818181818181818,1.111218765695762,420,0.050929462694168585,1
329,2155,0.0,0.0,12,0.0,0
940,939,0.23809523809523808,2.208751784882977,120,0.4263157894736842,1
660,2075,0.0,0.0,100,0.33,0
251,880,0.0,0.0,1479,0.05383901756372156,0
551,163,0.11594202898550725,2.0841712327963435,1452,0.09047664808764175,1
1674,726,0.0625,1.8819120344090603,616,0.14738550922761448,1
882,2127,0.0,0.0,60,0.4444444444444444,0
289,284,0.75,3.163660276448931,110,0.8165656565656566,1
1343,1851,0.0,0.0,2,0.0,0
1689,2361,0.0,0.0,14,0.8095238095238095,0
223,196,0.8064516129032258,8.023915663172732,780,0.36545358090185676,1
445,1712,0.0,0.0,175,0.33,0
509,2005,0.0,0.0,201,0.20759837177747625,0
227,657,0.0,0.0,135,0.37948717948717947,0
362,203,0.05154639175257732,1.4245001265018482,1157,0.04996595165134491,1
761,117,0.3917525773195876,11.26133895150706,4176,0.01801842151660439,1
249,1867,0.0,0.0,180,0.20952380952380953,0
557,466,0.1388888888888889,3.8372038550586303,3476,0.050109345075491675,1
1480,755,0.0,0.0,70,0.0,1
836,236,0.3157894736842105,2.354773071322948,150,0.3352380952380953,1
1023,211,0.0967741935483871,2.257142268018155,1376,0.06323529411764707,1
1215,1950,0.0,0.0,84,0.6212121212121212,0
238,71,0.04329004329004329,2.4772885736710295,4014,0.04522380465403415,1
