source_node,destination_node,class
5051,7787,1
6810,8145,0
1285,188,1
2221,7011,1
2914,7208,1
2643,5447,1
250,2425,1
608,5633,0
6522,4011,1
7436,8306,0
7125,1801,1
7392,8175,0
181,643,0
5993,9227,1
4396,2542,1
4128,7283,1
2243,9495,1
6471,7732,1
1833,6228,0
5265,9338,0
2660,4684,0
5363,5617,0
1243,7886,0
270,6045,1
2268,7263,1
300,3235,1
6925,5185,1
1050,4582,0
4201,8954,1
936,8505,1
2821,3856,0
885,5891,0
1565,6669,1
5501,7519,0
184,3293,0
4492,8829,0
6587,9227,0
5893,4798,1
1446,7033,0
2026,2929,1
9386,9496,0
4095,4356,0
3327,3567,0
9290,9480,0
2736,5749,1
2206,8151,1
3251,5188,0
5280,5421,1
3576,6087,0
1134,2807,0
7404,8782,1
8803,8140,1
3423,6179,0
4260,7475,0
1087,3722,1
4025,6670,0
2254,5208,1
3596,9097,0
2665,2967,1
3128,7868,0
206,7787,1
4005,5941,0
2178,7118,0
5593,5833,0
573,8641,0
254,6563,1
6575,7911,0
5070,6491,0
868,6807,0
2438,1664,1
4475,8831,0
1768,2274,0
1804,7924,1
3474,8989,1
2599,7392,0
460,8614,1
1104,8768,0
1310,1638,1
834,7709,0
5759,8933,1
1214,2693,0
2980,6845,1
846,7224,1
6972,8607,0
2145,382,1
160,7958,1
1691,8173,1
5865,8781,1
2390,8106,1
3524,4168,0
6726,7131,0
1576,4268,0
1989,8810,1
3700,8080,0
1710,2998,1
5193,8917,0
1175,7521,0
3268,6693,0
3643,5096,1
2745,6572,0
3443,7371,0
1134,7323,0
4991,5458,1
400,6690,1
5674,7202,0
7748,8445,0
7047,2560,1
142,4050,1
2665,8230,1
2914,7283,1
4079,5017,0
5055,7203,0
4948,5800,0
5691,8439,0
2684,2816,1
1112,7720,1
3173,5654,1
2882,3104,0
2969,8681,0
2729,8288,0
6343,6506,0
134,4174,0
3090,3758,0
4676,3115,1
3872,8700,1
135,3299,0
4568,6614,0
3741,8857,1
947,1183,0
3287,6619,1
4957,4004,1
4260,7265,0
4018,9128,0
634,5760,0
9011,7119,1
7514,7540,1
411,7568,0
2201,6330,1
3199,7055,0
4655,6761,0
4133,5104,1
1228,2733,1
8282,3022,1
4927,2118,1
6401,9134,0
5357,5632,0
181,9131,0
1262,9205,0
1260,6638,0
3389,7680,0
4528,7787,1
2754,6235,0
1642,5518,1
786,6124,1
712,3262,0
3565,7485,0
5440,7777,0
3082,3512,0
2143,3620,1
107,6890,0
4541,4622,1
1649,4209,0
4182,5164,0
1430,2494,0
5893,9323,1
653,4940,1
9114,7631,1
1028,5089,1
2700,9321,1
4806,8747,0
4121,4523,1
2993,6947,0
161,1665,1
769,8621,0
3386,7275,1
5622,8472,1
8552,8585,0
1204,5054,1
1943,3453,0
6562,3450,1
7275,6666,1
968,8127,1
4426,8178,0
2514,3931,0
3352,9045,0
764,5005,0
2498,8448,1
192,5684,1
849,2684,1
3681,9314,1
925,7035,0
6652,4863,1
6652,7234,1
8275,9430,0
7806,2984,1
159,3412,0
3236,4899,1
155,243,0
3073,5421,1
1804,7141,1
1194,8340,0
222,8821,0
7591,7818,0
475,7275,1
2989,8544,0
6117,7913,1
6252,1734,1
6469,2984,1
444,5394,0
2816,4032,1
7860,9109,0
1993,2171,1
1935,9155,0
1320,5778,1
7296,7453,1
1972,9331,1
6081,6364,0
7828,8775,1
4851,8701,1
2864,7453,1
1018,9329,0
2813,2839,1
4367,5744,0
1617,6809,0
1099,8614,1
6734,7787,1
9086,7715,1
6587,9356,0
2980,7297,1
1234,3579,0
1389,4886,0
6379,8909,1
3996,6991,1
2729,6084,0
2489,4290,0
2759,2791,1
6204,7029,1
7958,1033,1
1701,7132,0
6339,7466,0
2900,6177,0
4727,9239,0
4935,5382,1
6475,7499,1
1190,7017,0
4718,5253,0
4103,7887,0
711,5542,0
4336,2003,1
7057,7731,0
899,7913,1
5366,5665,1
199,2791,1
7534,7787,1
2224,5038,0
2520,9058,1
7392,9311,0
1755,8795,0
2825,4050,0
5825,8442,0
1211,6422,0
1673,3932,0
3548,3665,0
295,7525,1
2628,3706,0
1893,9105,1
1642,2370,1
3363,5835,1
2513,3403,0
6288,4406,1
8187,9065,0
6832,9054,0
3005,4539,0
7219,8301,1
1296,9057,1
1496,5135,0
1244,7787,1
1717,5397,0
7280,7039,1
5626,6266,0
8474,8675,0
465,7333,1
3633,6309,1
3197,2684,1
3597,7737,0
3793,8729,0
2474,5088,0
1687,4896,1
3572,8782,1
3866,6675,0
4459,5512,0
4670,9111,1
3964,6281,1
753,5280,0
3441,7209,0
2769,7586,0
8121,2516,1
2551,5178,1
7200,7580,0
5342,8922,1
881,7042,0
347,4098,0
5095,5421,1
1044,4537,0
1008,8368,0
3654,8864,0
4305,7286,1
252,915,1
2924,5506,0
2426,7159,1
5324,8889,0
6320,2941,1
3509,5086,1
3883,6846,0
2456,7787,1
4410,8664,1
5537,3032,1
255,5270,1
4034,7644,0
1389,1940,0
453,2090,0
1226,8307,0
5034,8912,0
1291,5085,0
5731,8674,0
748,819,1
2330,7029,0
2486,8007,0
1313,7073,0
969,1769,0
1009,1825,0
1536,4897,0
816,4689,0
4794,5876,0
1185,2270,0
6925,2698,1
893,7349,1
5421,7293,1
3279,5839,0
1100,6358,0
1066,7012,1
6449,6987,0
1888,3175,0
1747,1995,0
3048,6128,0
3347,8839,0
2816,9382,1
5381,9227,1
5708,9334,0
4811,7787,1
107,2825,0
2522,5227,0
109,8950,0
3131,4140,1
5428,6319,0
1400,7225,0
2659,7890,0
2913,3722,1
3102,3118,0
272,8244,0
3461,4261,0
8056,9445,1
278,8529,1
3771,6540,1
2454,7459,1
2610,8316,0
1259,1524,1
4765,7401,0
1843,3700,0
5961,8176,0
1518,8767,0
2661,3079,0
965,5247,0
1436,1552,0
1455,1759,1
737,5388,1
8810,9154,1
4658,7351,1
9111,8173,1
422,5276,1
5049,5441,0
7706,8817,0
1355,3022,1
1566,7286,1
255,5105,0
4862,6983,0
6652,8527,1
3223,4932,1
4513,5033,0
7980,9490,1
3139,7995,0
2546,7136,1
8915,7537,1
65,385,1
5293,8688,0
4610,7373,0
1718,5502,0
2101,3166,0
3448,7913,1
3784,5912,0
8060,8818,0
2375,7980,1
4049,5575,0
4886,7102,0
723,6669,1
5449,9266,1
5019,5098,1
2017,9233,0
430,9121,1
4281,2665,1
830,1453,1
1521,7826,0
2736,5458,1
3314,6782,0
1326,3402,1
53,9141,0
6845,7452,0
157,5776,0
7449,5692,1
4832,7373,1
2152,7936,1
1550,2363,1
5893,4728,1
536,5458,1
2548,4151,0
2894,8248,0
3916,4882,0
3766,3974,1
5517,6264,0
1964,8782,1
1542,8250,1
68,7272,0
3913,4982,0
4139,6652,1
177,8258,1
6917,8533,0
2301,4947,1
3059,6245,0
2914,7767,1
4101,5148,1
3136,6665,1
2091,2725,0
4811,4957,1
1680,3377,1
5211,5602,0
1043,1402,1
1403,5705,0
1247,4289,0
4179,5945,0
2558,4826,0
1501,2681,1
5160,7787,1
82,8531,1
4903,9206,1
1226,3574,0
632,1725,1
2520,9124,1
725,8568,0
2194,2483,0
3001,7992,0
1030,9042,1
