source_node,destination_node,jaccard_coef,adamic_adar,preferential_attachment,clustering_coef,class
1498,1511,0.058823529411764705,0.9080320656119647,728,0.018233618233618232,1
5,342,0.0,0.0,1,0.0,0
309,387,0.0,0.0,6,0.0,0
635,1419,0.05,0.7209921989882706,440,0.02276144907723855,1
565,678,0.0,0.0,3,0.0,0
1250,1261,0.014084507042253521,0.33380820069533407,140,0.13788819875776398,1
42,193,0.0,0.0,3,0.0,0
100,657,0.0,0.0,44,0.02121212121212121,0
151,569,0.08571428571428572,0.8055088252594447,297,0.03398083398083398,1
454,911,0.0,0.0,5,0.0,0
304,550,0.0,0.0,4,0.0,0
212,265,0.0,0.0,38,0.17543859649122806,0
313,586,0.0,0.0,18,0.0,0
555,1485,0.023809523809523808,0.5159718848175231,825,0.017926289926289925,1
734,1451,0.05333333333333334,0.945743197564227,804,0.03837561503775887,1
204,1261,0.04,0.6767709828548207,560,0.03939662821650399,1
479,519,0.044444444444444446,0.7621647610257162,132,0.026779422128259334,1
501,522,0.0,0.0,240,0.007881773399014778,1
148,433,0.0,0.0,450,0.0,0
477,549,0.0,0.0,22,0.0,0
433,474,0.038461538461538464,0.729323845361457,200,0.05102040816326531,1
118,345,0.0,0.0,20,0.0,0
1259,1261,0.013888888888888888,0.2119318086698044,210,0.04596273291925466,1
1301,1311,0.05128205128205128,1.0831196419933131,1105,0.03040158371040724,1
422,858,0.0,0.0,18,0.2222222222222222,0
222,680,0.0,0.0,16,0.0,0
680,899,0.0,0.0,32,0.041666666666666664,1
1261,1423,0.13829787234042554,7.908403974161036,10080,0.00954878454878455,1
838,1553,0.07407407407407407,3.2228628792444365,1764,0.0073142659125505875,1
271,855,0.0,0.0,4,0.0,0
290,723,0.0,0.0,6,0.0,0
286,839,0.0,0.0,33,0.0,0
201,305,0.0,0.0,2,0.0,0
547,785,0.0,0.0,7,0.0,0
758,785,0.0,0.0,1,0.0,0
201,203,0.0,0.0,2,0.0,0
144,485,0.0,0.0,9,0.0,0
1380,1489,0.08333333333333333,0.9288073995195345,555,0.04813384813384813,1
87,182,0.0,0.0,4,0.0,0
224,703,0.0,0.0,1,0.0,0
85,256,0.0,0.0,16,0.0,0
337,352,0.0,0.0,10,0.0,0
115,1402,0.041666666666666664,0.6307824050687041,456,0.02413897150739256,1
19,1540,0.08333333333333333,0.4512092682749027,105,0.05619047619047619,1
336,511,0.0,0.0,4,1.0,0
387,558,0.0,0.0,2,0.0,0
401,550,0.0,0.0,2,0.0,0
420,470,0.0,0.0,6,0.0,0
8,730,0.0,0.0,2,0.0,0
52,1451,0.028169014084507043,0.4263658303905069,402,0.050655811849841706,1
80,591,0.0,0.0,8,0.0,0
575,678,0.0,0.0,12,0.05555555555555555,0
1464,1558,0.018867924528301886,0.2969742043733701,288,0.06040189125295508,1
423,501,0.0,0.0,150,0.01471264367816092,0
569,1567,0.03361344537815126,1.0150413282978394,1232,0.021060021060021056,1
59,102,0.0,0.0,36,0.0,0
326,1520,0.017857142857142856,0.5599040422539553,848,0.017751251443973815,1
73,500,0.0,0.0,30,0.04,0
206,751,0.0,0.0,10,0.0,0
245,431,0.22857142857142856,2.1134654586151886,462,0.07779839208410637,1
1423,1488,0.013793103448275862,0.7722161091770795,432,0.06925019425019426,1
287,889,0.0,0.0,286,0.009157509157509158,1
513,615,0.0,0.0,12,0.0,0
21,266,0.0,0.0,2,0.0,0
1249,1503,0.08333333333333333,0.46771594912650416,168,0.06493506493506493,1
420,601,0.0,0.0,2,0.0,0
106,1567,0.09090909090909091,3.6707483665085787,4928,0.011249357179589737,1
115,1457,0.06,0.9875967489650079,570,0.01991465149359886,1
414,731,0.0,0.0,32,0.11666666666666667,0
153,445,0.043478260869565216,0.8855923044960573,287,0.03164924506387921,1
3,327,0.0,0.0,57,0.04483430799220273,0
433,714,0.11578947368421053,3.9772070281342162,2800,0.008216273522395972,1
404,653,0.0,0.0,108,0.10648148148148147,0
531,578,0.0,0.0,8,0.0,0
504,725,0.0,0.0,3,0.0,0
9,252,0.0,0.0,6,0.3333333333333333,0
657,1560,0.1,0.7814576833923441,121,0.03008264462809917,1
127,357,0.0,0.0,6,0.0,0
1375,1451,0.19,4.897444108036461,3484,0.021870627665184293,1
571,944,0.0,0.0,88,0.05627705627705627,1
433,1375,0.10869565217391304,2.969484371365665,2600,0.017622433588820145,1
402,610,0.0,0.0,20,0.2,0
793,850,0.0,0.0,30,0.04000000000000001,0
