source_node,destination_node,jaccard_coef,adamic_adar,preferential_attachment,clustering_coef,class
122,1713,0.2727272727272727,1.5831316284855874,40,0.3333333333333333,1
1122,1123,0.3333333333333333,1.4426950408889634,4,1.0,1
143,545,0.0,0.0,112,0.7,0
279,530,0.05952380952380952,1.3690250488646336,1968,0.05088220031136482,1
911,912,0.8333333333333334,5.134822841725349,272,0.4120098039215686,1
135,633,0.07692307692307693,1.4554885430870554,1728,0.06716480918608578,1
5,2011,0.047619047619047616,1.7534135726059432,909,0.04702970297029703,1
378,851,0.0,0.0,345,0.3583662714097497,0
121,813,0.1444866920152091,8.701517082033986,17394,0.025666034634644504,1
249,676,0.0625,1.5539674281841083,1560,0.06827945517265906,1
172,1395,0.0,0.0,108,0.32679738562091504,0
502,929,0.1566265060240964,3.0330950400437637,2300,0.0629399585921325,1
1578,2304,0.0,0.0,18,0.6944444444444444,0
186,2361,0.0,0.0,45,0.225,0
340,1462,0.0,0.0,20,0.0,0
405,1504,0.0,0.0,260,0.2072199730094467,0
827,2211,0.0,0.0,9,0.6666666666666666,0
941,2032,0.0,0.0,30,0.2074074074074074,0
443,644,0.0,0.0,48,0.4722222222222222,0
73,242,0.24115755627009647,20.380280316993357,30849,0.01063517646677459,1
300,740,0.0,0.0,378,0.20700666854513008,0
1257,2269,0.0,0.0,2,0.0,0
1304,1855,0.0,0.0,60,0.456060606060606,0
1501,2201,0.10256410256410256,1.18631523324343,406,0.15233042819249715,1
209,799,0.03333333333333333,1.2426698691192237,285,0.05087719298245613,1
1471,1951,0.0,0.0,42,0.45054945054945056,0
384,1073,0.0,0.0,29,0.0,0
517,581,0.11428571428571428,1.895495709015244,1496,0.06817145462836298,1
687,691,0.84375,7.701503823383918,868,0.7018831427433577,1
1444,2256,0.0,0.0,6,0.0,0
69,1832,0.012121212121212121,0.5974271793374852,2812,0.03001712776148866,1
847,1223,0.0,0.0,28,0.14285714285714285,0
941,2290,0.0,0.0,10,0.0,0
615,761,0.07407407407407407,0.9617966939259757,154,0.043290043290043295,1
2149,2184,0.0,0.0,64,0.475,0
657,692,0.8857142857142857,9.07927621627339,1088,0.5215916278534874,1
82,1292,0.0,0.0,216,0.5163398692810458,0
866,1487,0.0,0.0,5,0.0,0
104,1013,0.0,0.0,23,0.0,0
389,2165,0.0,0.0,24,0.8928571428571429,0
402,2319,0.28125,2.760384341531917,348,0.19432004776832362,1
71,202,0.24598930481283424,12.307427582907678,12166,0.019865135278389186,1
1045,1091,0.0,0.0,64,1.0,0
417,1236,0.0,0.0,21,0.0,0
11,1534,0.0,0.0,2112,0.06844305120167189,0
220,966,0.0,0.0,26,0.0,0
265,266,0.16279069767441862,2.475097582647603,544,0.06540404040404041,1
326,582,0.09821428571428571,2.6405007321454246,3710,0.03599870187236881,1
55,254,0.08256880733944955,2.7827962807318176,3432,0.02212448185298864,1
629,1803,0.0,0.0,246,0.13887778222044517,0
1471,1473,0.5,1.8204784532536746,9,1.0,1
1640,1829,0.0,0.0,70,0.2504201680672269,0
842,865,0.0,0.0,80,0.06999999999999999,1
691,1128,0.0,0.0,31,0.0,0
351,699,0.125,1.4065118819051592,434,0.09514356611130804,1
283,1533,0.0,0.0,888,0.46996996996997,0
1479,1481,0.4444444444444444,2.4853397382384474,40,0.4642857142857143,1
655,1943,0.0,0.0,220,0.27061087061087064,0
218,284,0.13559322033898305,4.080612337587578,3813,0.07337512400369446,1
2135,2320,0.0,0.0,5,0.0,0
1481,2351,0.0,0.0,16,0.0,0
1347,1501,0.0,0.0,58,0.0,0
33,1705,0.0,0.0,986,0.11617469129212483,0
39,1692,0.0,0.0,336,0.11162698412698413,0
1241,1784,0.0,0.0,3,0.0,0
41,291,0.12727272727272726,2.3066612269516504,945,0.05952740070387129,1
571,1957,0.0,0.0,196,0.1666465402729139,0
610,636,0.4631578947368421,11.430852906072808,4824,0.08134600861109163,1
218,929,0.2222222222222222,7.313895160118947,4650,0.03659654043945769,1
147,1333,0.1414141414141414,3.712437509267813,2542,0.11514539279204022,1
829,1093,0.0,0.0,128,0.39285714285714285,0
719,2033,0.0,0.0,64,0.15306122448979592,0
1765,2128,0.0,0.0,20,0.5,0
1690,1881,0.0,0.0,28,0.15079365079365079,0
440,1923,0.058823529411764705,0.6213349345596119,77,0.10389610389610389,1
221,2020,0.06666666666666667,0.45511961331341866,55,0.1272727272727273,1
1690,2300,0.0,0.0,112,0.34682539682539687,0
825,980,0.3333333333333333,1.1456166821792242,15,0.4,1
312,347,0.03773584905660377,0.80458528668061,525,0.12545787545787546,1
33,2133,0.06557377049180328,1.3301839632759318,406,0.11574914297237346,1
401,695,0.0,0.0,779,0.2464698331193838,0
155,637,0.040268456375838924,1.2995810646461812,5700,0.026189382580143108,1
1815,2339,0.0,0.0,54,0.38562091503267976,0
42,208,0.08641975308641975,1.9973839724637115,1767,0.060675883256528416,1
