source_node,destination_node,class
1597,2538,0
3378,2411,1
988,8178,1
8087,6780,1
4632,3958,1
5512,5018,0
432,802,1
5925,6127,0
2675,4788,0
545,55,1
1385,7351,1
3449,3897,1
4040,8219,1
5185,1352,1
5679,1233,0
2613,5751,0
4167,2018,0
2651,3486,1
7744,8121,1
259,2626,0
4070,4424,1
1344,462,0
2740,1646,1
223,5535,0
7053,8134,1
4538,3483,0
122,3520,1
3850,407,0
2066,5322,0
7051,1452,0
2678,6877,0
1751,1549,1
3191,4666,1
2547,93,0
7013,5287,0
3469,1421,0
4457,346,0
4705,6902,0
6377,5798,1
4914,1795,0
5189,3962,1
4394,2819,0
3711,2509,0
2099,1297,1
3577,3532,0
3897,4485,1
282,34,1
675,5009,0
346,1744,1
5193,5539,1
1133,1185,1
1319,8290,1
94,779,1
5133,1023,0
4746,6296,1
5002,7442,1
1757,8290,1
2991,104,0
5931,732,0
1114,1193,1
1492,1236,1
306,5947,1
1335,1716,1
3795,499,0
1707,993,1
1785,1946,0
3453,5714,1
2576,2625,1
5022,6417,1
4040,6914,1
81,4503,0
4550,5639,1
3973,2134,1
4715,5930,0
758,4511,0
3658,2886,0
6958,3066,0
6563,5902,1
4403,531,0
1374,3238,1
2476,1416,1
1644,3334,1
3402,1310,1
2487,3271,0
2485,3557,1
6612,5012,1
1381,1514,1
6479,3634,1
1662,3235,1
3348,6498,1
6360,3809,1
432,1407,1
7086,6759,1
6054,283,0
5814,6982,1
3452,2240,1
2565,8219,1
5581,112,0
4427,6255,0
3935,1272,0
3453,4706,1
4260,6320,0
6001,1208,0
3798,2859,1
1271,5648,0
1032,1303,0
4266,3352,1
4914,5084,0
3661,1706,1
1037,3334,1
6013,5655,0
4899,8128,1
11,1880,1
3655,5087,0
7424,4037,1
6360,3,0
1151,7946,1
2612,6689,0
1042,1043,1
51,893,1
919,4763,0
1352,1284,1
3403,3384,0
29,435,1
5800,5596,1
2642,5184,0
6240,4325,0
240,6269,0
1966,2485,1
87,372,1
2256,1549,1
3452,4297,1
1286,5218,0
2972,6718,0
2774,4646,1
5804,6784,1
6068,5201,0
854,1770,1
3349,2130,0
2511,6241,1
2635,5016,0
1780,3119,0
1051,6684,0
5110,5222,1
2237,3394,1
4071,5684,1
634,5936,1
3066,5136,0
5589,1052,0
611,5006,0
4965,2979,0
10,743,1
2871,2617,1
6253,2317,0
2034,665,1
1473,5445,1
2921,6794,0
4603,866,0
2842,285,1
5035,2054,0
4821,2466,0
140,606,1
3478,6805,0
5984,617,0
1737,1199,1
1203,334,1
946,2818,1
784,1248,1
3685,1260,0
5521,3003,0
4285,3586,0
576,4917,0
697,1128,1
2605,4335,1
5285,5916,0
1997,1772,1
2658,7879,1
1356,1718,1
5123,4041,1
2978,258,0
5186,2925,0
4796,4282,0
2565,4578,1
194,4267,0
164,2416,0
5440,6317,0
2660,3089,1
4673,3897,1
3578,3580,1
340,232,1
935,5106,1
236,857,1
737,6897,1
226,2775,1
3032,5280,0
1185,1321,1
15,56,1
6494,4940,1
21,1726,1
6555,6832,1
571,6663,0
904,3084,1
6458,6606,1
5475,661,0
1048,275,0
4465,2433,1
1594,1919,1
4600,5445,1
319,3843,1
3641,2746,1
4689,5423,0
2682,501,0
6190,1713,0
398,5294,0
2009,5341,1
575,2899,0
1493,325,0
15,2229,1
6494,5800,1
3989,4658,0
3976,5364,1
1732,2474,1
1597,1035,0
2658,3772,1
1997,2202,1
6647,2406,0
2682,2237,0
3514,3516,1
1521,2341,1
6272,5254,1
6633,2731,0
3631,4297,1
3770,7295,1
1581,239,0
635,1321,1
2237,2297,1
6327,7143,1
5802,4983,1
1592,6516,0
1395,587,1
6542,3194,0
2879,5754,0
5166,6330,1
787,1912,0
3205,1654,0
1568,2009,0
4403,5656,0
6900,5524,1
2967,3903,1
339,2356,0
3390,6356,0
5079,6774,1
2355,5739,0
3443,2693,1
1951,3928,0
3883,6426,0
4624,6592,0
2411,1453,1
618,814,0
122,4999,1
6907,5812,1
2887,2470,1
7158,6327,1
871,1465,1
2904,1918,1
61,5344,0
292,2354,0
6596,8121,1
4970,1769,1
2650,1757,0
2485,3516,1
5806,5811,1
3632,6306,0
5501,4267,0
7031,5196,0
1374,6783,1
989,457,0
820,2990,0
6296,4951,0
206,4583,0
145,4766,0
5281,2278,0
1785,4450,0
924,3304,0
6865,6913,1
254,150,1
1496,2585,1
6596,7389,1
2519,3136,0
4781,6275,0
2509,1350,0
2434,5769,0
2655,2560,1
1165,6551,0
290,1893,1
2505,5209,0
6552,7168,1
3806,196,0
3989,9,0
1227,6215,0
2015,665,1
1608,3030,1
3402,5449,1
1902,4005,0
6661,2841,0
1164,1513,1
71,6094,1
306,406,1
2737,6719,0
4899,5301,1
5915,7449,1
4740,1712,0
3787,6044,1
3787,6246,1
6333,1670,0
5749,6525,0
357,1021,0
78,396,1
399,2883,0
2464,5354,0
3992,264,0
3910,6946,1
6616,6330,1
3722,5773,1
1862,4833,0
1133,4040,1
1468,1246,0
1611,6834,0
477,2891,0
3785,2958,1
2427,6829,0
11,1484,1
5400,4737,0
5599,1767,0
4640,376,0
3305,1756,0
1549,3939,1
3375,4299,1
4353,737,1
5015,1164,0
1029,1145,0
766,4986,1
2747,4365,1
4948,5454,1
6861,6930,1
1050,2617,1
3920,3471,0
1701,1888,1
3705,1244,0
4252,2805,0
4442,596,0
1990,3785,1
1146,3235,0
4224,3339,0
6223,5262,1
5209,1345,0
3981,1519,0
1585,1284,1
2092,2470,1
1823,1855,1
6081,2577,0
3472,3352,1
7054,5902,1
458,6462,0
3451,4557,1
1132,338,1
4497,762,1
5046,4191,1
346,2900,1
587,6271,0
3225,3516,1
5903,33,0
5189,2605,1
788,6204,0
2700,3173,1
3728,4704,0
2230,2231,1
308,311,1
3081,1754,1
737,5802,1
55,1020,1
5945,5179,1
3974,4498,0
2871,2815,1
931,5116,0
3055,3059,1
3478,3394,1
152,8287,1
4040,4966,1
1170,1984,0
1462,2643,1
1006,1610,1
4082,5680,1
1596,4055,1
3196,6790,0
1707,1875,0
4036,5543,1
2135,5782,0
4712,6255,1
3902,4735,1
3759,5162,0
2967,825,1
1151,6897,1
3398,6287,0
2859,1769,1
5829,5262,1
2356,3005,1
6755,1938,0
4804,3615,0
5788,6614,0
3658,1239,1
5696,1167,0
109,290,1
5802,217,0
971,1966,1
6506,22,0
5745,5754,0
4217,6299,0
1133,6229,1
4626,3864,0
2259,2246,1
5874,6649,0
891,5468,0
6275,2891,0
4530,3809,0
2974,2265,0
4510,6349,0
3562,3822,1
600,2225,1
3707,309,0
306,2276,1
2952,1762,0
5814,5028,1
1137,2724,1
5188,5827,1
2833,5819,0
663,3253,1
1134,1297,1
621,2719,0
3802,3892,1
6149,6675,0
1819,3553,0
5238,4207,0
3230,509,0
3512,3676,0
2916,2351,0
331,1090,0
4430,2871,1
472,2991,0
4948,4824,1
2565,8293,1
6654,5254,1
3454,1984,1
6907,7992,1
783,4808,0
7021,5466,1
5809,6306,1
710,1199,1
4970,5610,0
2485,2830,1
1008,6682,1
5173,6555,1
3669,7061,0
2145,5288,1
7386,7813,1
1362,551,0
4901,3274,0
4310,5673,1
5784,5925,1
6181,1863,0
2653,3529,1
349,6291,0
1340,3758,0
3929,4875,1
4119,907,0
445,5818,0
5229,3477,0
1236,1525,1
4534,4531,1
6398,3186,0
6578,3291,0
4041,4653,1
3512,1706,1
1487,1622,1
255,1992,1
2704,5653,0
6880,2168,0
6126,4040,0
6691,3666,0
2485,5640,1
1605,2834,0
4065,2775,1
5956,1134,0
5022,6094,1
1140,3689,0
2480,1029,0
1536,4728,0
37,4057,0
5062,4062,0
3390,5454,1
2015,77,0
172,2510,1
6392,240,0
3417,3426,0
602,1909,0
87,35,1
1628,2193,1
881,4264,0
4406,5459,0
1828,3827,0
2688,4558,1
3343,1297,1
1792,1757,1
1538,1805,1
706,2157,1
663,794,1
7107,4399,0
1267,3456,1
3066,5238,0
5203,6053,0
1454,4136,0
2579,3204,0
1139,1434,0
795,1653,1
7064,6946,1
2504,2547,1
351,325,1
1259,1062,1
4725,4796,1
784,2665,1
1808,2560,1
6767,6004,1
6113,5330,0
4252,4759,0
4963,3746,0
1278,1437,1
3728,4175,1
6486,7365,1
6271,1098,0
1166,2830,1
3032,2923,1
4608,4295,0
4574,6709,1
3368,6269,0
1583,6003,0
1286,5925,1
2379,3291,1
1610,4987,0
2230,5417,0
3775,6979,1
45,871,1
2361,4861,0
2549,2474,1
3776,2230,0
122,4531,1
11,1849,1
2489,1352,0
